,Team,Player,Percentage
0,Detroit,davion-mitchell,[[0.77629846]]
1,Houston,jalen-green,[[0.6695775]]
2,Cleveland,jalen-johnson,[[0.03927836]]
3,Toronto,keon-johnson,[[0.12506256]]
4,Orlando,johnathan-kuminga,[[0.9987192]]
5,Oklahoma City,joshua-primo,[[0.99866337]]
6,Golden State,greg-brown,[[0.99331415]]
7,Orlando,jaden-springer,[[0.9831294]]
8,Sacramento,cade-cunningham,[[0.90052015]]
9,Memphis,sharife-cooper,[[0.73134154]]
10,Charlotte,james-bouknight,[[0.8815014]]
11,San Antonio,cameron-thomas,[[0.69771916]]
12,Indiana,moses-moody,[[0.8463992]]
13,Golden State,jalen-suggs,[[0.05012867]]
14,Washington,scottie-barnes,[[0.71199304]]
